"Identifier","Coordinate","Family","Common_Name","SubCellular","SubOrganellar"
"AT1G60880","p01-r01-c29","MADS","AGL56","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G60880","p01-r01-c30","MADS","AGL56","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G34440","p01-r01-c31","MADS","AGL29","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G34440","p01-r01-c32","MADS","AGL29","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G24050","p01-r01-c33","C2C2-GATA","GATA1","Nucleus","Chromosome"
"AT3G24050","p01-r01-c34","C2C2-GATA","GATA1","Nucleus","Chromosome"
"AT5G27910","p01-r01-c35","CCAAT","NF-YC8","Nucleus","Chromosome"
"AT5G27910","p01-r01-c36","CCAAT","NF-YC8","Nucleus","Chromosome"
"AT2G37430","p01-r01-c37","C2H2","ZAT11","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT2G37430","p01-r01-c38","C2H2","ZAT11","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT3G30530","p01-r01-c39","bZIP","ATBZIP42","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
"AT3G30530","p01-r01-c40","bZIP","ATBZIP42","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
"AT5G04340","p01-r01-c41","C2H2","AtZAT6","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G04340","p01-r01-c42","C2H2","AtZAT6","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G38800","p01-r01-c43","bZIP","AtbZIP43","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT5G38800","p01-r01-c44","bZIP","AtbZIP43","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT4G25470","p01-r01-c45","AP2-EREBP","DREB1C","Nucleus","Chromosome"
"AT4G25470","p01-r01-c46","AP2-EREBP","DREB1C","Nucleus","Chromosome"
"AT3G12250","p01-r01-c47","bZIP","BZIP45","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G12250","p01-r01-c48","bZIP","BZIP45","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G68150","p01-r02-c01","WRKY","ATWRKY9","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G68150","p01-r02-c02","WRKY","ATWRKY9","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G47760","p01-r02-c03","MADS","AGL102","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G47760","p01-r02-c04","MADS","AGL102","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G55600","p01-r02-c05","WRKY","MINI3","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT1G55600","p01-r02-c06","WRKY","MINI3","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT3G14020","p01-r02-c07","CCAAT","NF-YA6","Nucleus","Chromosome"
"AT3G14020","p01-r02-c08","CCAAT","NF-YA6","Nucleus","Chromosome"
"AT4G18470","p01-r02-c09","ND","SNI1","Nucleus","Chromosome"
"AT4G18470","p01-r02-c10","ND","SNI1","Nucleus","Chromosome"
"AT5G60890","p01-r02-c11","MYB","ATR1","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G60890","p01-r02-c12","MYB","ATR1","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G06500","p01-r02-c13","MADS","AGL96","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G06500","p01-r02-c14","MADS","AGL96","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G02310","p01-r02-c15","MADS","AGL4","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G02310","p01-r02-c16","MADS","AGL4","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G24430","p01-r02-c17","NAC","ANAC039","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT2G24430","p01-r02-c18","NAC","ANAC039","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT2G42830","p01-r02-c19","MADS","AGL5","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT2G42830","p01-r02-c20","MADS","AGL5","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G26650","p01-r02-c21","MADS","AGL36","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G26650","p01-r02-c22","MADS","AGL36","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G65360","p01-r02-c23","MADS","AGL23","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G65360","p01-r02-c24","MADS","AGL23","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G60920","p01-r02-c25","MADS","AGL55","Nucleus","Chromosome"
"AT1G60920","p01-r02-c26","MADS","AGL55","Nucleus","Chromosome"
"AT3G30260","p01-r02-c27","MADS","AGL79","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G30260","p01-r02-c28","MADS","AGL79","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G60880","p01-r02-c29","MADS","AGL56","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G60880","p01-r02-c30","MADS","AGL56","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G34440","p01-r02-c31","MADS","AGL29","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G34440","p01-r02-c32","MADS","AGL29","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G24050","p01-r02-c33","C2C2-GATA","GATA1","Nucleus","Chromosome"
"AT3G24050","p01-r02-c34","C2C2-GATA","GATA1","Nucleus","Chromosome"
"AT5G27910","p01-r02-c35","CCAAT","NF-YC8","Nucleus","Chromosome"
"AT5G27910","p01-r02-c36","CCAAT","NF-YC8","Nucleus","Chromosome"
"AT2G37430","p01-r02-c37","C2H2","ZAT11","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT2G37430","p01-r02-c38","C2H2","ZAT11","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT3G30530","p01-r02-c39","bZIP","ATBZIP42","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
"AT3G30530","p01-r02-c40","bZIP","ATBZIP42","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
"AT5G04340","p01-r02-c41","C2H2","AtZAT6","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G04340","p01-r02-c42","C2H2","AtZAT6","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G38800","p01-r02-c43","bZIP","AtbZIP43","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT5G38800","p01-r02-c44","bZIP","AtbZIP43","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT4G25470","p01-r02-c45","AP2-EREBP","DREB1C","Nucleus","Chromosome"
"AT4G25470","p01-r02-c46","AP2-EREBP","DREB1C","Nucleus","Chromosome"
"AT3G12250","p01-r02-c47","bZIP","BZIP45","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G12250","p01-r02-c48","bZIP","BZIP45","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G48250","p01-r03-c01","C2C2-CO-like","BBX8","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G48250","p01-r03-c02","C2C2-CO-like","BBX8","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT3G15030","p01-r03-c03","TCP","MEE35","Nucleus","Chromosome"
"AT3G15030","p01-r03-c04","TCP","MEE35","Nucleus","Chromosome"
"AT4G09450","p01-r03-c05","MYB-related","AT4G09450","Nucleus","Nucleus, nucleolus; Chromosome"
"AT4G09450","p01-r03-c06","MYB-related","AT4G09450","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G47460","p01-r03-c07","MYB","PFG1","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G47460","p01-r03-c08","MYB","PFG1","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G72450","p01-r03-c09","ZIM","TIFY11B","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G72450","p01-r03-c10","ZIM","TIFY11B","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G44160","p01-r03-c11","C2H2","AtIDD8","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT5G44160","p01-r03-c12","C2H2","AtIDD8","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT2G42680","p01-r03-c13","MBF1","MBF1A","Nucleus","Nucleus, nucleolus"
"AT2G42680","p01-r03-c14","MBF1","MBF1A","Nucleus","Nucleus, nucleolus"
"AT2G33480","p01-r03-c15","NAC","ANAC041","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G33480","p01-r03-c16","NAC","ANAC041","Nucleus","Nucleus, nucleolus; Chromosome"
"AT4G01250","p01-r03-c17","WRKY","AtWRKY22","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT4G01250","p01-r03-c18","WRKY","AtWRKY22","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT3G12720","p01-r03-c19","MYB","MYB67","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT3G12720","p01-r03-c20","MYB","MYB67","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT2G36990","p01-r03-c21","SIGMA70-like","SOLDAT8","Plastid","Plastid, chloroplast membrane; Plastid, chloroplast stroma; Plastid, chloroplast thylakoid lumen"
"AT2G36990","p01-r03-c22","SIGMA70-like","SOLDAT8","Plastid","Plastid, chloroplast membrane; Plastid, chloroplast stroma; Plastid, chloroplast thylakoid lumen"
"AT4G31800","p01-r03-c23","WRKY","WRKY18","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT4G31800","p01-r03-c24","WRKY","WRKY18","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT2G47210","p01-r03-c25","MYB-related","ATSWC4","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G47210","p01-r03-c26","MYB-related","ATSWC4","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G25900","p01-r03-c27","C3H","ATTZF1","Nucleus","Nucleus speckle; Chromosome"
"AT2G25900","p01-r03-c28","C3H","ATTZF1","Nucleus","Nucleus speckle; Chromosome"
"AT2G25650","p01-r03-c29","GeBP","GPL1","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G25650","p01-r03-c30","GeBP","GPL1","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G23240","p01-r03-c31","AP2-EREBP","ERF1B","Nucleus","Chromosome"
"AT3G23240","p01-r03-c32","AP2-EREBP","ERF1B","Nucleus","Chromosome"
"AT1G25560","p01-r03-c33","AP2-EREBP","EDF1","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Chromosome"
"AT1G25560","p01-r03-c34","AP2-EREBP","EDF1","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Chromosome"
"AT3G47620","p01-r03-c35","TCP","AtTCP14","Nucleus","Chromosome"
"AT3G47620","p01-r03-c36","TCP","AtTCP14","Nucleus","Chromosome"
"AT3G07670","p01-r03-c37","SET","AT3G07670","Plastid","Plastid, chloroplast stroma; Plastid, chloroplast thylakoid lumen"
"AT3G07670","p01-r03-c38","SET","AT3G07670","Plastid","Plastid, chloroplast stroma; Plastid, chloroplast thylakoid lumen"
"AT3G04420","p01-r03-c39","NAC","ANAC048","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G04420","p01-r03-c40","NAC","ANAC048","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G04950","p01-r03-c41","ND","ATTAF6","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G04950","p01-r03-c42","ND","ATTAF6","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G13810","p01-r03-c43","C2H2","AtIDD11","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT3G13810","p01-r03-c44","C2H2","AtIDD11","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT1G72010","p01-r03-c45","TCP","TCP22","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G72010","p01-r03-c46","TCP","TCP22","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G09790","p01-r03-c47","PHD","PDE336","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G09790","p01-r03-c48","PHD","PDE336","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G48250","p01-r04-c01","C2C2-CO-like","BBX8","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G48250","p01-r04-c02","C2C2-CO-like","BBX8","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT3G15030","p01-r04-c03","TCP","MEE35","Nucleus","Chromosome"
"AT3G15030","p01-r04-c04","TCP","MEE35","Nucleus","Chromosome"
"AT4G09450","p01-r04-c05","MYB-related","AT4G09450","Nucleus","Nucleus, nucleolus; Chromosome"
"AT4G09450","p01-r04-c06","MYB-related","AT4G09450","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G47460","p01-r04-c07","MYB","PFG1","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G47460","p01-r04-c08","MYB","PFG1","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G72450","p01-r04-c09","ZIM","TIFY11B","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G72450","p01-r04-c10","ZIM","TIFY11B","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G44160","p01-r04-c11","C2H2","AtIDD8","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT5G44160","p01-r04-c12","C2H2","AtIDD8","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT2G42680","p01-r04-c13","MBF1","MBF1A","Nucleus","Nucleus, nucleolus"
"AT2G42680","p01-r04-c14","MBF1","MBF1A","Nucleus","Nucleus, nucleolus"
"AT2G33480","p01-r04-c15","NAC","ANAC041","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G33480","p01-r04-c16","NAC","ANAC041","Nucleus","Nucleus, nucleolus; Chromosome"
"AT4G01250","p01-r04-c17","WRKY","AtWRKY22","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT4G01250","p01-r04-c18","WRKY","AtWRKY22","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT3G12720","p01-r04-c19","MYB","MYB67","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT3G12720","p01-r04-c20","MYB","MYB67","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT2G36990","p01-r04-c21","SIGMA70-like","SOLDAT8","Plastid","Plastid, chloroplast membrane; Plastid, chloroplast stroma; Plastid, chloroplast thylakoid lumen"
"AT2G36990","p01-r04-c22","SIGMA70-like","SOLDAT8","Plastid","Plastid, chloroplast membrane; Plastid, chloroplast stroma; Plastid, chloroplast thylakoid lumen"
"AT4G31800","p01-r04-c23","WRKY","WRKY18","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT4G31800","p01-r04-c24","WRKY","WRKY18","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT2G47210","p01-r04-c25","MYB-related","ATSWC4","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G47210","p01-r04-c26","MYB-related","ATSWC4","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G25900","p01-r04-c27","C3H","ATTZF1","Nucleus","Nucleus speckle; Chromosome"
"AT2G25900","p01-r04-c28","C3H","ATTZF1","Nucleus","Nucleus speckle; Chromosome"
"AT2G25650","p01-r04-c29","GeBP","GPL1","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G25650","p01-r04-c30","GeBP","GPL1","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G23240","p01-r04-c31","AP2-EREBP","ERF1B","Nucleus","Chromosome"
"AT3G23240","p01-r04-c32","AP2-EREBP","ERF1B","Nucleus","Chromosome"
"AT1G25560","p01-r04-c33","AP2-EREBP","EDF1","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Chromosome"
"AT1G25560","p01-r04-c34","AP2-EREBP","EDF1","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Chromosome"
"AT3G47620","p01-r04-c35","TCP","AtTCP14","Nucleus","Chromosome"
"AT3G47620","p01-r04-c36","TCP","AtTCP14","Nucleus","Chromosome"
"AT3G07670","p01-r04-c37","SET","AT3G07670","Plastid","Plastid, chloroplast stroma; Plastid, chloroplast thylakoid lumen"
"AT3G07670","p01-r04-c38","SET","AT3G07670","Plastid","Plastid, chloroplast stroma; Plastid, chloroplast thylakoid lumen"
"AT3G04420","p01-r04-c39","NAC","ANAC048","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G04420","p01-r04-c40","NAC","ANAC048","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G04950","p01-r04-c41","ND","ATTAF6","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G04950","p01-r04-c42","ND","ATTAF6","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G13810","p01-r04-c43","C2H2","AtIDD11","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT3G13810","p01-r04-c44","C2H2","AtIDD11","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT1G72010","p01-r04-c45","TCP","TCP22","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G72010","p01-r04-c46","TCP","TCP22","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G09790","p01-r04-c47","PHD","PDE336","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G09790","p01-r04-c48","PHD","PDE336","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G42910","p01-r05-c01","bZIP","AT5G42910","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT5G42910","p01-r05-c02","bZIP","AT5G42910","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT2G04038","p01-r05-c03","bZIP","AtbZIP48","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT2G04038","p01-r05-c04","bZIP","AtbZIP48","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT4G14550","p01-r05-c05","AUX-IAA","IAA14","Nucleus","Chromosome"
"AT4G14550","p01-r05-c06","AUX-IAA","IAA14","Nucleus","Chromosome"
"AT3G17609","p01-r05-c07","bZIP","HYH","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT3G17609","p01-r05-c08","bZIP","HYH","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT2G46990","p01-r05-c09","AUX-IAA","IAA20","Nucleus","Chromosome"
"AT2G46990","p01-r05-c10","AUX-IAA","IAA20","Nucleus","Chromosome"
"AT5G06839","p01-r05-c11","bZIP","bZIP65","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G06839","p01-r05-c12","bZIP","bZIP65","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT4G11880","p01-r05-c13","MADS","AGL14","Nucleus","Nucleus, nucleolus; Chromosome"
"AT4G11880","p01-r05-c14","MADS","AGL14","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G48000","p01-r05-c15","MYB","MYB112","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G48000","p01-r05-c16","MYB","MYB112","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G57230","p01-r05-c17","MADS","AGL16","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G57230","p01-r05-c18","MADS","AGL16","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G25340","p01-r05-c19","MYB","AtMYB116","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT1G25340","p01-r05-c20","MYB","AtMYB116","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT2G22630","p01-r05-c21","MADS","AGL17","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G22630","p01-r05-c22","MADS","AGL17","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G27785","p01-r05-c23","MYB","MYB118","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT3G27785","p01-r05-c24","MYB","MYB118","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G10140","p01-r05-c25","MADS","FLC","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G10140","p01-r05-c26","MADS","FLC","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G30210","p01-r05-c27","MYB","MYB121","Nucleus","Chromosome"
"AT3G30210","p01-r05-c28","MYB","MYB121","Nucleus","Chromosome"
"AT5G65050","p01-r05-c29","MADS","MAF2","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G65050","p01-r05-c30","MADS","MAF2","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G35550","p01-r05-c31","MYB","TT2","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G35550","p01-r05-c32","MYB","TT2","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G23260","p01-r05-c33","MADS","TT16","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G23260","p01-r05-c34","MADS","TT16","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G02320","p01-r05-c35","MYB","ATMYB3R5","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G02320","p01-r05-c36","MYB","ATMYB3R5","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G62165","p01-r05-c37","MADS","AGL42","Nucleus","Chromosome"
"AT5G62165","p01-r05-c38","MADS","AGL42","Nucleus","Chromosome"
"AT5G62320","p01-r05-c39","MYB","ATMYB99","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G62320","p01-r05-c40","MYB","ATMYB99","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G40220","p01-r05-c41","MADS","AGL43","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G40220","p01-r05-c42","MADS","AGL43","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G36890","p01-r05-c43","MYB","RAX2","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT2G36890","p01-r05-c44","MYB","RAX2","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT5G39750","p01-r05-c45","MADS","EMB3008","Nucleus","Chromosome"
"AT5G39750","p01-r05-c46","MADS","EMB3008","Nucleus","Chromosome"
"AT4G25560","p01-r05-c47","MYB","AtMYB18","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT4G25560","p01-r05-c48","MYB","AtMYB18","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G42910","p01-r06-c01","bZIP","AT5G42910","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT5G42910","p01-r06-c02","bZIP","AT5G42910","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT2G04038","p01-r06-c03","bZIP","AtbZIP48","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT2G04038","p01-r06-c04","bZIP","AtbZIP48","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT4G14550","p01-r06-c05","AUX-IAA","IAA14","Nucleus","Chromosome"
"AT4G14550","p01-r06-c06","AUX-IAA","IAA14","Nucleus","Chromosome"
"AT3G17609","p01-r06-c07","bZIP","HYH","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT3G17609","p01-r06-c08","bZIP","HYH","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT2G46990","p01-r06-c09","AUX-IAA","IAA20","Nucleus","Chromosome"
"AT2G46990","p01-r06-c10","AUX-IAA","IAA20","Nucleus","Chromosome"
